Time,Sum of Playercount
1/2/2019,133960321
1/3/2019,136792811
1/4/2019,150469243
1/5/2019,169031071
1/6/2019,165361752
1/7/2019,137824789
1/8/2019,135418856
1/9/2019,132840135
1/10/2019,140221024
1/11/2019,150660232
1/12/2019,170734089
1/13/2019,166718841
1/14/2019,141953341
1/15/2019,142356824
1/16/2019,129416590
1/17/2019,138770946
1/18/2019,146997494
1/19/2019,163692172
1/20/2019,163162103
1/21/2019,137683656
1/22/2019,134807876
1/23/2019,129574056
1/24/2019,132936213
1/25/2019,137494982
1/26/2019,150253087
1/27/2019,150402537
1/28/2019,130425136
1/29/2019,119269750
1/30/2019,119447125
1/31/2019,102329433
2/1/2019,129599735
2/2/2019,132417662
2/3/2019,127136202
2/4/2019,99835914
2/5/2019,109730042
2/6/2019,113155868
2/7/2019,113524646
2/8/2019,124066104
2/9/2019,136136787
2/10/2019,137836850
2/11/2019,131513972
2/12/2019,129132513
2/13/2019,122856256
2/14/2019,124763085
2/15/2019,136018605
2/16/2019,148464743
2/17/2019,146293253
2/18/2019,132578390
2/19/2019,126543582
2/20/2019,125231657
2/21/2019,125635447
2/22/2019,130241161
2/23/2019,145332530
2/24/2019,140256826
2/25/2019,117538797
2/26/2019,117410936
2/27/2019,86863498
2/28/2019,117488530
3/1/2019,129740361
3/2/2019,145851873
3/3/2019,136272179
3/4/2019,109359825
3/5/2019,110491832
3/6/2019,107502147
3/7/2019,106249768
3/8/2019,120402415
3/9/2019,142653849
3/10/2019,134650052
3/11/2019,79321437
3/12/2019,106767914
3/13/2019,101030645
3/14/2019,107665659
3/15/2019,122257461
3/16/2019,144108140
3/17/2019,136566413
3/18/2019,108297809
3/19/2019,107139096
3/20/2019,101394153
3/21/2019,109584924
3/22/2019,123296222
3/23/2019,142265056
3/24/2019,135468337
3/25/2019,106105332
3/26/2019,108922103
3/27/2019,105762639
3/28/2019,90326492
3/29/2019,131429130
3/30/2019,149148428
3/31/2019,144726181
4/1/2019,114154114
4/2/2019,110892221
4/3/2019,104673055
4/4/2019,128489470
4/5/2019,138468110
4/6/2019,137468940
4/7/2019,135009370
4/8/2019,110393672
4/9/2019,112317313
4/10/2019,100043256
4/11/2019,110026019
4/12/2019,121930337
4/13/2019,141225970
4/14/2019,136036123
4/15/2019,106733719
4/16/2019,103380589
4/17/2019,103324049
4/18/2019,104802446
4/19/2019,117885630
4/20/2019,64205484
4/21/2019,130425437
4/22/2019,106401826
4/23/2019,103888329
4/24/2019,78132815
4/25/2019,106822501
4/26/2019,117154663
4/27/2019,130620918
4/28/2019,121492085
4/29/2019,109171721
4/30/2019,123159549
5/1/2019,134267577
5/2/2019,126398583
5/3/2019,128802431
5/4/2019,127894974
5/5/2019,119963429
5/6/2019,108111351
5/7/2019,107319339
5/8/2019,96202347
5/9/2019,104155062
5/10/2019,113642572
5/11/2019,131662606
5/12/2019,126545158
5/13/2019,100792653
5/14/2019,100382378
5/15/2019,103113879
5/16/2019,102251521
5/17/2019,110576309
5/18/2019,130412883
5/19/2019,128398652
5/20/2019,98277115
5/21/2019,100158475
5/22/2019,78758321
5/23/2019,98193620
5/24/2019,107326468
5/25/2019,127158501
5/26/2019,125995291
5/27/2019,99784396
5/28/2019,97773627
5/29/2019,97072855
5/30/2019,99338865
5/31/2019,107550733
6/1/2019,120251726
6/2/2019,117932141
6/3/2019,93985463
6/4/2019,97879099
6/5/2019,88023879
6/6/2019,103730298
6/7/2019,114934744
6/8/2019,119938098
6/9/2019,117405858
6/10/2019,98212087
6/11/2019,96641021
6/12/2019,93903199
6/13/2019,98051314
6/14/2019,103350453
6/15/2019,117194891
6/16/2019,116339812
6/17/2019,97748807
6/18/2019,94551480
6/19/2019,91882593
6/20/2019,95814452
6/21/2019,101665252
6/22/2019,114936908
6/23/2019,114237125
6/24/2019,95189776
6/25/2019,95565839
6/26/2019,82967102
6/27/2019,103913181
6/28/2019,105815401
6/29/2019,119401481
6/30/2019,117297158
7/1/2019,99570657
7/2/2019,99417227
7/3/2019,97923296
7/4/2019,99065153
7/5/2019,101875986
7/6/2019,115069681
7/7/2019,115357641
7/8/2019,99720470
7/9/2019,97200382
7/10/2019,89756948
7/11/2019,94781551
7/12/2019,97656593
7/13/2019,108346004
7/14/2019,108804010
7/15/2019,90943039
7/16/2019,90766676
7/17/2019,89323322
7/18/2019,90987330
7/19/2019,95840935
7/20/2019,106484754
7/21/2019,107976943
7/22/2019,94983382
7/23/2019,92363240
7/24/2019,79944588
7/25/2019,109875930
7/26/2019,111505731
7/27/2019,122415510
7/28/2019,124077629
7/29/2019,109453076
7/30/2019,108704847
7/31/2019,99675071
8/1/2019,105001166
8/2/2019,110709008
8/3/2019,120099940
8/4/2019,121245302
8/5/2019,108026907
8/6/2019,103455731
8/7/2019,99032108
8/8/2019,101809676
8/9/2019,107548396
8/10/2019,120247513
8/11/2019,121984681
8/12/2019,105872253
8/13/2019,103809182
8/14/2019,85741349
8/15/2019,103758772
8/16/2019,105597268
8/17/2019,117258902
8/18/2019,116665697
8/19/2019,101594188
8/20/2019,96025694
8/21/2019,77280827
8/22/2019,98355437
8/23/2019,100862444
8/24/2019,111527026
8/25/2019,113127929
8/26/2019,96615525
8/27/2019,93405873
8/28/2019,85165842
8/29/2019,90790777
8/30/2019,95975232
8/31/2019,106774975
9/1/2019,106039034
9/2/2019,87999816
9/3/2019,84543150
9/4/2019,77779480
9/5/2019,83229316
9/6/2019,88404887
9/7/2019,105106151
9/8/2019,101744902
9/9/2019,68974578
9/10/2019,80524722
9/11/2019,84742063
9/12/2019,89450958
9/13/2019,97053893
9/14/2019,103464139
9/15/2019,97166071
9/16/2019,76079157
9/17/2019,78717452
9/18/2019,78137283
9/19/2019,74630745
9/20/2019,84776532
9/21/2019,99537678
9/22/2019,97217292
9/23/2019,76156812
9/24/2019,75164998
9/25/2019,55387739
9/26/2019,78157170
9/27/2019,82203360
9/28/2019,89378305
9/29/2019,88999302
9/30/2019,87546324
10/1/2019,88642818
10/2/2019,83147246
10/3/2019,94103354
10/4/2019,92795776
10/5/2019,97445969
10/6/2019,97906230
10/7/2019,85912267
10/8/2019,77085140
10/9/2019,79535317
10/10/2019,75681522
10/11/2019,79783631
10/12/2019,90840468
10/13/2019,93696404
10/14/2019,75375646
10/15/2019,73220424
10/16/2019,73315550
10/17/2019,71958310
10/18/2019,77718241
10/19/2019,89557431
10/20/2019,88039315
10/21/2019,71140074
10/22/2019,70442578
10/23/2019,62696499
10/24/2019,84073828
10/25/2019,89494895
10/26/2019,98657372
10/27/2019,96923961
10/28/2019,74422612
10/29/2019,70072769
10/30/2019,67386447
10/31/2019,74974872
11/1/2019,80918477
11/2/2019,92731607
11/3/2019,90765842
11/4/2019,77750176
11/5/2019,75373404
11/6/2019,75686137
11/7/2019,81019353
11/8/2019,87208706
11/9/2019,101111183
11/10/2019,95751683
11/11/2019,80694121
11/12/2019,81118790
11/13/2019,82697797
11/14/2019,81069009
11/15/2019,87334978
11/16/2019,94285440
11/17/2019,99017589
11/18/2019,82278688
11/19/2019,79748159
11/20/2019,65143500
11/21/2019,82832313
11/22/2019,88258426
11/23/2019,104212904
11/24/2019,104236912
11/25/2019,89937907
11/26/2019,84812775
11/27/2019,80254831
11/28/2019,86130166
11/29/2019,94340867
11/30/2019,109211708
12/1/2019,106703959
12/2/2019,84896525
12/3/2019,83351353
12/4/2019,84018751
12/5/2019,84274125
12/6/2019,90544245
12/7/2019,105019705
12/8/2019,102469447
12/9/2019,83387409
12/10/2019,82637284
12/11/2019,84828349
12/12/2019,81803118
12/13/2019,88366031
12/14/2019,102522078
12/15/2019,100079813
12/16/2019,82019603
12/17/2019,80103061
12/18/2019,57963517
12/19/2019,80507913
12/20/2019,85813014
12/21/2019,100468706
12/22/2019,98573074
12/23/2019,82962570
12/24/2019,79808258
12/25/2019,86642617
12/26/2019,84786510
12/27/2019,90830886
12/28/2019,101503972
12/29/2019,99700228
12/30/2019,86243022
12/31/2019,88610875
1/1/2020,96356209
1/2/2020,84299942
1/3/2020,89285118
1/4/2020,99916773
1/5/2020,99809913
1/6/2020,85031748
1/7/2020,84926106
1/8/2020,81653425
1/9/2020,86342208
1/10/2020,84975017
1/11/2020,94109781
1/12/2020,92281369
1/13/2020,77986882
1/14/2020,76758988
1/15/2020,74828711
1/16/2020,72940121
1/17/2020,72542681
1/18/2020,79816090
1/19/2020,79586423
1/20/2020,73847876
1/21/2020,72623087
1/22/2020,64748499
1/23/2020,79541163
1/24/2020,60156373
1/25/2020,63435847
1/26/2020,69242199
1/27/2020,69277766
1/28/2020,70205693
1/29/2020,71863866
1/30/2020,62760708
1/31/2020,77638922
2/1/2020,81727975
2/2/2020,83269557
2/3/2020,73556889
2/4/2020,76707054
2/5/2020,72741100
2/6/2020,77757380
2/7/2020,78624402
2/8/2020,83011079
2/9/2020,83505220
2/10/2020,76257774
2/11/2020,72977342
2/12/2020,73752497
2/13/2020,73546473
2/14/2020,71935837
2/15/2020,78229197
2/16/2020,76154005
2/17/2020,69946977
2/18/2020,68062423
2/19/2020,59754347
2/20/2020,73877691
2/21/2020,74962889
2/22/2020,78660242
2/23/2020,77507841
2/24/2020,67839095
2/25/2020,66597964
2/26/2020,62604741
2/27/2020,66768865
2/28/2020,68753071
2/29/2020,75449902
3/1/2020,74249004
3/2/2020,63649689
3/3/2020,63097490
3/4/2020,59273672
3/5/2020,62385718
3/6/2020,65690076
3/7/2020,70726453
3/8/2020,72617060
3/9/2020,62435552
3/10/2020,60516095
3/11/2020,58022437
3/12/2020,58911335
3/13/2020,62242867
3/14/2020,67438027
3/15/2020,67656125
3/16/2020,58773729
3/17/2020,62006914
3/18/2020,46958484
3/19/2020,61185337
3/20/2020,63206297
3/21/2020,70592147
3/22/2020,71477367
3/23/2020,74147654
3/24/2020,67685100
3/25/2020,63696168
3/26/2020,70764810
3/27/2020,72493726
3/28/2020,79431092
3/29/2020,78217495
3/30/2020,65939226
3/31/2020,63297993
4/1/2020,67799024
4/2/2020,72199215
4/3/2020,81383966
4/4/2020,121175886
4/5/2020,80454580
4/6/2020,73317653
4/7/2020,64576801
4/8/2020,62607274
4/9/2020,57403336
4/10/2020,68027375
4/11/2020,75708194
4/12/2020,72326442
4/13/2020,61617955
4/14/2020,59894698
4/15/2020,60059664
4/16/2020,57470461
4/17/2020,61358938
4/18/2020,69375062
4/19/2020,68636820
4/20/2020,57551962
4/21/2020,57421714
4/22/2020,55739479
4/23/2020,73506201
4/24/2020,77385664
4/25/2020,83907485
4/26/2020,77882279
4/27/2020,72850395
4/28/2020,73587223
4/29/2020,64653884
4/30/2020,72925520
5/1/2020,76664689
5/2/2020,75836657
5/3/2020,75636112
5/4/2020,72681167
5/5/2020,70661069
5/6/2020,64089147
5/7/2020,64306260
5/8/2020,66412013
5/9/2020,72554672
5/10/2020,74127608
5/11/2020,63564619
5/12/2020,62810791
5/13/2020,65573621
5/14/2020,64845341
5/15/2020,64742814
5/16/2020,74618246
5/17/2020,74221786
5/18/2020,62058257
5/19/2020,61978776
5/20/2020,49884945
5/21/2020,69962616
5/22/2020,71606862
5/23/2020,82416432
5/24/2020,81956199
5/25/2020,70491507
5/26/2020,69652231
5/27/2020,62614586
5/28/2020,70027434
5/29/2020,72459306
5/30/2020,82201478
5/31/2020,80498058
6/1/2020,66011058
6/2/2020,64704781
6/3/2020,55641524
6/4/2020,61461918
6/5/2020,73243094
6/6/2020,82884402
6/7/2020,81187201
6/8/2020,65513363
6/9/2020,62876071
6/10/2020,65213704
6/11/2020,62351478
6/12/2020,66191175
6/13/2020,75283092
6/14/2020,75124800
6/15/2020,62065095
6/16/2020,60903947
6/17/2020,28877958
6/18/2020,63261463
6/19/2020,65773831
6/20/2020,74749658
6/21/2020,74166912
6/22/2020,61691485
6/23/2020,62247298
6/24/2020,65194523
6/25/2020,69571207
6/26/2020,70812949
6/27/2020,70768739
6/28/2020,64328888
6/29/2020,60630538
6/30/2020,59723374
7/1/2020,60952763
7/2/2020,60904401
7/3/2020,63242178
7/4/2020,71740001
7/5/2020,72059522
7/6/2020,61055463
7/7/2020,61979008
7/8/2020,61832116
7/9/2020,59415586
7/10/2020,61196984
7/11/2020,68834698
7/12/2020,68867888
7/13/2020,56816127
7/14/2020,56115941
7/15/2020,54598508
7/16/2020,54345479
7/17/2020,57566290
7/18/2020,61851214
7/19/2020,64603564
7/20/2020,53665823
7/21/2020,52567584
7/22/2020,45022380
7/23/2020,62929743
7/24/2020,62848343
7/25/2020,69712868
7/26/2020,70454263
7/27/2020,61098642
7/28/2020,59785904
7/29/2020,55332492
7/30/2020,59421818
7/31/2020,61449244
8/1/2020,67700217
8/2/2020,68228802
8/3/2020,58649601
8/4/2020,57386400
8/5/2020,49381429
8/6/2020,56943389
8/7/2020,57326511
8/8/2020,62712578
8/9/2020,63468860
8/10/2020,55025198
8/11/2020,54134381
8/12/2020,54291772
