Time,Sum of Playercount
4/18/2019,12925472
4/19/2019,15636246
4/20/2019,10323292
4/21/2019,17411632
4/22/2019,13803887
4/23/2019,12694400
4/24/2019,12323112
4/25/2019,12182494
4/26/2019,13643554
4/27/2019,16805840
4/28/2019,16097412
4/29/2019,12442440
4/30/2019,13695841
5/1/2019,15912971
5/2/2019,14415350
5/3/2019,15413910
5/4/2019,16912726
5/5/2019,16339879
5/6/2019,12499085
5/7/2019,11983815
5/8/2019,12222880
5/9/2019,13008115
5/10/2019,16142183
5/11/2019,21568807
5/12/2019,21680911
5/13/2019,15698517
5/14/2019,16063030
5/15/2019,16690653
5/16/2019,16192899
5/17/2019,17610703
5/18/2019,21924761
5/19/2019,21129304
5/20/2019,14577436
5/21/2019,14064841
5/22/2019,13893355
5/23/2019,13755045
5/24/2019,15494495
5/25/2019,19377723
5/26/2019,18873924
5/27/2019,14284585
5/28/2019,13587252
5/29/2019,13913352
5/30/2019,14584571
5/31/2019,15780266
6/1/2019,18094045
6/2/2019,18113843
6/3/2019,13767018
6/4/2019,13829054
6/5/2019,14208909
6/6/2019,14405204
6/7/2019,16295553
6/8/2019,17528521
6/9/2019,17651706
6/10/2019,14439719
6/11/2019,13645311
6/12/2019,13441172
6/13/2019,13929189
6/14/2019,15294525
6/15/2019,17878121
6/16/2019,18160463
6/17/2019,15099683
6/18/2019,14463095
6/19/2019,14395121
6/20/2019,15464047
6/21/2019,15814029
6/22/2019,17668752
6/23/2019,17944405
6/24/2019,14862068
6/25/2019,14905987
6/26/2019,15708881
6/27/2019,17403148
6/28/2019,18992919
6/29/2019,21489193
6/30/2019,22482192
7/1/2019,20353010
7/2/2019,20283809
7/3/2019,21363268
7/4/2019,22466943
7/5/2019,23626089
7/6/2019,26680463
7/7/2019,27500371
7/8/2019,25000968
7/9/2019,25027278
7/10/2019,25132245
7/11/2019,23614545
7/12/2019,22923762
7/13/2019,23935278
7/14/2019,24220537
7/15/2019,20969597
7/16/2019,20757398
7/17/2019,20166250
7/18/2019,20216988
7/19/2019,21418493
7/20/2019,23170308
7/21/2019,24243079
7/22/2019,22717839
7/23/2019,33630058
7/24/2019,35673015
7/25/2019,34888525
7/26/2019,34684374
7/27/2019,36878661
7/28/2019,38834529
7/29/2019,35910361
7/30/2019,35804167
7/31/2019,35630241
8/1/2019,34328364
8/2/2019,34562694
8/3/2019,36085027
8/4/2019,37215381
8/5/2019,33643972
8/6/2019,32955499
8/7/2019,32411023
8/8/2019,32504758
8/9/2019,32449394
8/10/2019,33955960
8/11/2019,34285806
8/12/2019,30118760
8/13/2019,28546500
8/14/2019,23441945
8/15/2019,26550904
8/16/2019,26848573
8/17/2019,28846200
8/18/2019,29270613
8/19/2019,23711315
8/20/2019,23662149
8/21/2019,23145859
8/22/2019,21815228
8/23/2019,23622404
8/24/2019,27095530
8/25/2019,28395375
8/26/2019,24210305
8/27/2019,23764878
8/28/2019,23635508
8/29/2019,24425100
8/30/2019,25824933
8/31/2019,28419921
9/1/2019,27721681
9/2/2019,22319310
9/3/2019,19949119
9/4/2019,19314252
9/5/2019,18724077
9/6/2019,20004340
9/7/2019,25470210
9/8/2019,24575828
9/9/2019,15346953
9/10/2019,16446383
9/11/2019,16490853
9/12/2019,17274368
9/13/2019,19473274
9/14/2019,22631152
9/15/2019,21618504
9/16/2019,14569418
9/17/2019,14481151
9/18/2019,14431560
9/19/2019,14090758
9/20/2019,16555938
9/21/2019,21318133
9/22/2019,20798414
9/23/2019,14498319
9/24/2019,14081450
9/25/2019,14268137
9/26/2019,14244200
9/27/2019,16685757
9/28/2019,20582053
9/29/2019,20901906
9/30/2019,17131907
10/1/2019,16613819
10/2/2019,17142808
10/3/2019,18056973
10/4/2019,19446435
10/5/2019,22671004
10/6/2019,22577339
10/7/2019,16626931
10/8/2019,15395680
10/9/2019,15689395
10/10/2019,15371510
10/11/2019,17185000
10/12/2019,21324565
10/13/2019,20810500
10/14/2019,15614099
10/15/2019,13900127
10/16/2019,13875808
10/17/2019,14086545
10/18/2019,16324737
10/19/2019,20594863
10/20/2019,20063987
10/21/2019,14406108
10/22/2019,13937418
10/23/2019,14053873
10/24/2019,13503163
10/25/2019,15416865
10/26/2019,19308825
10/27/2019,18826468
10/28/2019,12756875
10/29/2019,13427324
10/30/2019,14778055
10/31/2019,16127326
11/1/2019,19042990
11/2/2019,23734553
11/3/2019,23568565
11/4/2019,17556175
11/5/2019,16091295
11/6/2019,16438330
11/7/2019,16701484
11/8/2019,19551062
11/9/2019,25146669
11/10/2019,24009029
11/11/2019,17367749
11/12/2019,16785111
11/13/2019,17422865
11/14/2019,18037428
11/15/2019,21427078
11/16/2019,25075832
11/17/2019,25407332
11/18/2019,18184316
11/19/2019,16848366
11/20/2019,17160798
11/21/2019,16140868
11/22/2019,18269139
11/23/2019,23522825
11/24/2019,22639351
11/25/2019,15942407
11/26/2019,15208442
11/27/2019,15833951
11/28/2019,17194533
11/29/2019,21266497
11/30/2019,27170836
12/1/2019,26682096
12/2/2019,19524379
12/3/2019,19567068
12/4/2019,19547228
12/5/2019,18910276
12/6/2019,20692685
12/7/2019,25944743
12/8/2019,24798149
12/9/2019,17660505
12/10/2019,17345648
12/11/2019,17364634
12/12/2019,20696352
12/13/2019,27143316
12/14/2019,35377977
12/15/2019,34931426
12/16/2019,25731997
12/17/2019,25010050
12/18/2019,24855264
12/19/2019,25487508
12/20/2019,29675857
12/21/2019,35759615
12/22/2019,35874606
12/23/2019,30913339
12/24/2019,30525316
12/25/2019,33440587
12/26/2019,34237909
12/27/2019,37332913
12/28/2019,41226125
12/29/2019,41596304
12/30/2019,38239484
12/31/2019,36014064
1/1/2020,37644628
1/2/2020,36502104
1/3/2020,37905104
1/4/2020,39959161
1/5/2020,38401185
1/6/2020,31690128
1/7/2020,30055587
1/8/2020,28939718
1/9/2020,28808913
1/10/2020,30634865
1/11/2020,36323435
1/12/2020,35373212
1/13/2020,26955784
1/14/2020,25776752
1/15/2020,25239015
1/16/2020,25181879
1/17/2020,26950570
1/18/2020,32459962
1/19/2020,32449475
1/20/2020,27096562
1/21/2020,25663011
1/22/2020,25782333
1/23/2020,26280959
1/24/2020,27626358
1/25/2020,33672016
1/26/2020,37151850
1/27/2020,33208550
1/28/2020,34194063
1/29/2020,35508611
1/30/2020,31831037
1/31/2020,41642766
2/1/2020,45651402
2/2/2020,48491426
2/3/2020,40332167
2/4/2020,42131215
2/5/2020,43539612
2/6/2020,45555859
2/7/2020,47505056
2/8/2020,52264489
2/9/2020,49075323
2/10/2020,42893126
2/11/2020,40777488
2/12/2020,38870135
2/13/2020,38789503
2/14/2020,40594975
2/15/2020,45076158
2/16/2020,43224623
2/17/2020,37798549
2/18/2020,34778219
2/19/2020,35127033
2/20/2020,35555141
2/21/2020,39206048
2/22/2020,43698912
2/23/2020,43603719
2/24/2020,36701140
2/25/2020,34310801
2/26/2020,33570102
2/27/2020,33805967
2/28/2020,35353852
2/29/2020,39852835
3/1/2020,38270327
3/2/2020,29819318
3/3/2020,28890899
3/4/2020,28161103
3/5/2020,28061399
3/6/2020,31235044
3/7/2020,35096998
3/8/2020,35700428
3/9/2020,29089426
3/10/2020,27333377
3/11/2020,26579604
3/12/2020,27268642
3/13/2020,28600090
3/14/2020,32950257
3/15/2020,33769936
3/16/2020,30126298
3/17/2020,30604186
3/18/2020,30441883
3/19/2020,30942063
3/20/2020,31750163
3/21/2020,35966056
3/22/2020,38344858
3/23/2020,36301130
3/24/2020,36467647
3/25/2020,37180389
3/26/2020,38065561
3/27/2020,38877927
3/28/2020,41709549
3/29/2020,42528740
3/30/2020,39416194
3/31/2020,38558514
4/1/2020,37662715
4/2/2020,37047897
4/3/2020,39024086
4/4/2020,46724566
4/5/2020,40447591
4/6/2020,36961247
4/7/2020,35226746
4/8/2020,34528891
4/9/2020,35708981
4/10/2020,38328334
4/11/2020,40300833
4/12/2020,40368949
4/13/2020,37807384
4/14/2020,35949722
4/15/2020,34771716
4/16/2020,36127414
4/17/2020,36875596
4/18/2020,39171059
4/19/2020,38469739
4/20/2020,34286369
4/21/2020,33004797
4/22/2020,33018916
4/23/2020,33248042
4/24/2020,34381169
4/25/2020,36041559
4/26/2020,35231416
4/27/2020,31794433
4/28/2020,31353799
4/29/2020,31707505
4/30/2020,34117764
5/1/2020,35715719
5/2/2020,36823945
5/3/2020,36494064
5/4/2020,33967707
5/5/2020,33181360
5/6/2020,32019967
5/7/2020,32297433
5/8/2020,32668281
5/9/2020,34495023
5/10/2020,34652612
5/11/2020,31418072
5/12/2020,30721417
5/13/2020,30188224
5/14/2020,32854371
5/15/2020,42054171
5/16/2020,45092617
5/17/2020,46307420
5/18/2020,50711108
5/19/2020,50583976
5/20/2020,52191527
5/21/2020,50080737
5/22/2020,51713404
5/23/2020,52543499
5/24/2020,52499928
5/25/2020,47641932
5/26/2020,44234541
5/27/2020,41849449
5/28/2020,40629212
5/29/2020,40679991
5/30/2020,42733533
5/31/2020,42151217
6/1/2020,36238394
6/2/2020,33352504
6/3/2020,32248642
6/4/2020,30947170
6/5/2020,33541463
6/6/2020,35460054
6/7/2020,35318918
6/8/2020,30117842
6/9/2020,29226259
6/10/2020,28551694
6/11/2020,28177383
6/12/2020,28215068
6/13/2020,30391282
6/14/2020,30474282
6/15/2020,26148400
6/16/2020,25016979
6/17/2020,19619306
6/18/2020,25372131
6/19/2020,26467267
6/20/2020,29076800
6/21/2020,29460266
6/22/2020,26042911
6/23/2020,25449545
6/24/2020,26172974
6/25/2020,25934168
6/26/2020,26556180
6/27/2020,27049022
6/28/2020,26722086
6/29/2020,24563379
6/30/2020,24145092
7/1/2020,24098881
7/2/2020,24864133
7/3/2020,26089509
7/4/2020,27708077
7/5/2020,28039137
7/6/2020,25137399
7/7/2020,24714508
7/8/2020,24525041
7/9/2020,24090722
7/10/2020,24300237
7/11/2020,26048277
7/12/2020,26284436
7/13/2020,23418815
7/14/2020,23027852
7/15/2020,22623219
7/16/2020,23220934
